surface,tax,abundance,abundance_rank,var,var_rank
bench,sk__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium,0.00197069167966358,72,0.000267102202089649,33
bench,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus,0.00541444421598594,33,0.000258297019725697,34
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Geodermatophilales;f__Geodermatophilaceae;g__Modestobacter,0.00712131143619293,22,0.000244933169378253,35
bench,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,0.00740939876213755,21,0.000199497683758238,36
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Dermacoccaceae;g__Dermacoccus,0.00432572086040111,39,0.000191131011729789,37
bench,sk__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter,0.00394834454855192,41,0.000191028559199133,38
bench,sk__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter,0.0065865070903956,25,0.000159076001060791,39
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Brevibacteriaceae;g__Brevibacterium,0.00217300019490962,68,0.000115644520164387,40
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Micrococcales;f__Intrasporangiaceae;g__Arsenicicoccus,0.00301534647101253,51,0.000113959068747616,41
bench,sk__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces,0.0037197443743081,44,0.000111396976250737,42
bench,sk__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium,0.00202238143415603,71,9.92540023833487e-05,43
bench,sk__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus,0.00825785094523209,19,9.26658124373319e-05,44
bench,sk__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus,0.00611910841139352,26,9.20228455246238e-05,45
